,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
0,NGC5000,197.447725,28.90696389,13.0,9.0,47.454000000006005,1.0,55.0,37.67133360000173,197.0,26.0,51.80999999996857,28.0,54.0,25.07000400000038
1,NGC5001,197.38857917,53.49420833,13.0,9.0,33.2590008000102,3.0,33.0,58.609999200001965,197.0,23.0,18.885012000050665,53.0,29.0,39.14998799999751
2,NGC5002,197.65910417,36.63421944,13.0,10.0,38.185000800007884,2.0,26.0,32.21266560000146,197.0,39.0,32.77501200002234,36.0,38.0,3.1899840000090762
3,NGC5003,197.1579,43.7375,13.0,8.0,37.896000000013146,2.0,54.0,57.0000000000006,197.0,9.0,28.44000000004371,43.0,44.0,14.999999999989768
4,NGC5004,197.75665417,29.63667222,13.0,11.0,1.5970008000061853,1.0,58.0,32.801332800002,197.0,45.0,23.95501199996488,29.0,38.0,12.019992000004436
5,NGC5005,197.73463333,37.05894167,13.0,10.0,56.3119992000118,2.0,28.0,14.146000800002838,197.0,44.0,4.67998800002988,37.0,3.0,32.1900120000106
6,NGC5006,197.94071775,-19.26180019,13.0,11.0,45.772260000010476,-1.0,-17.0,-2.83204560000037,197.0,56.0,26.583900000016456,-19.0,-15.0,-42.48068399999596
7,NGC5007,197.30995068,62.17494591,13.0,9.0,14.388163200005124,4.0,8.0,41.9870184000019,197.0,18.0,35.82244799994896,62.0,10.0,29.80527599999334
8,NGC5008,212.7385875,25.49728056,14.0,10.0,57.26100000000969,1.0,41.0,59.3473344000013,212.0,44.0,18.914999999979045,25.0,29.0,50.21001600000034
9,NGC5009,197.6957875,50.09170556,13.0,10.0,46.98900000000634,3.0,20.0,22.009334400002416,197.0,41.0,44.83499999998003,50.0,5.0,30.140016000004266
10,NGC5010,198.1097125,-15.79795556,13.0,12.0,26.331000000012068,-1.0,-3.0,-11.509334400000508,198.0,6.0,34.965000000001965,-15.0,-47.0,-52.64001600000043
11,NGC5011,198.21603333,-43.09618056,13.0,12.0,51.847999200007706,-2.0,-52.0,-23.08333440000183,198.0,12.0,57.71998799995572,-43.0,-5.0,-46.25001600000189
12,NGC5012,197.90438835,22.91550377,13.0,11.0,37.05320400001227,1.0,31.0,39.72090480000148,197.0,54.0,15.798060000017813,22.0,54.0,55.81357200000298
13,NGC5013,198.03064679,3.19903602,13.0,12.0,7.355229600009068,0.0,12.0,47.768644800000075,198.0,1.0,50.32844399996975,3.0,11.0,56.52967199999953
14,NGC5014,197.87999167,36.28211944,13.0,11.0,31.198000800014256,2.0,25.0,7.708665600002718,197.0,52.0,47.970012000034785,36.0,16.0,55.62998400000879
15,NGC5015,198.09525768,-4.33654592,13.0,12.0,22.861843200007144,-0.0,-17.0,-20.771020800000173,198.0,5.0,42.92764800001123,-4.0,-20.0,-11.565311999999395
16,NGC5016,198.02779254,24.09499181,13.0,12.0,6.670209600008121,1.0,36.0,22.798034400001654,198.0,1.0,40.053144000025895,24.0,5.0,41.970515999999236
17,NGC5017,198.22715726,-16.76579888,13.0,12.0,54.517742400011144,-1.0,-7.0,-3.79173120000031,198.0,13.0,37.76613600004566,-16.0,-45.0,-56.87596799999426
18,NGC5018,198.25416667,-19.51829722,13.0,13.0,1.0000008000038463,-1.0,-18.0,-4.391332800000853,198.0,15.0,15.000011999961771,-19.0,-31.0,-5.869992000003208
19,NGC5019,198.176575,4.72959444,13.0,12.0,42.37800000001528,0.0,18.0,55.10266560000012,198.0,10.0,35.670000000050095,4.0,43.0,46.53998399999864
20,NGC5020,198.1661375,12.59973333,13.0,12.0,39.87300000000886,0.0,50.0,23.93599920000071,198.0,9.0,58.0949999999666,12.0,35.0,59.039987999997834
21,NGC5021,198.02616138,46.19609455,13.0,12.0,6.278731200007144,3.0,4.0,47.06269200000101,198.0,1.0,34.18096799996647,46.0,11.0,45.94037999999273
22,NGC5022,198.37834159,-19.54662895,13.0,13.0,30.801981600008048,-1.0,-18.0,-11.190948000000773,198.0,22.0,42.029723999967246,-19.0,-32.0,-47.86421999999561
23,NGC5023,198.0491625,44.03802222,13.0,12.0,11.799000000007993,2.0,56.0,9.125332800003036,198.0,2.0,56.98499999997921,44.0,2.0,16.879992000007178
24,NGC5024,198.23020833,18.16816667,13.0,12.0,55.24999920001321,1.0,12.0,40.36000080000132,198.0,13.0,48.74998800003823,18.0,10.0,5.400012000005461
25,NGC5025,198.18650078,31.8093667,13.0,12.0,44.7601872000088,2.0,7.0,14.248008000001384,198.0,11.0,11.40280799995935,31.0,48.0,33.720120000006375
26,NGC5026,198.55666216,-42.96132251,13.0,14.0,13.59891840000941,-2.0,-51.0,-50.71740240000267,198.0,33.0,23.983776000006856,-42.0,-57.0,-40.76103600000806
27,NGC5027,198.33744501,6.06128121,13.0,13.0,20.986802400014852,0.0,24.0,14.707490400000367,198.0,20.0,14.802036000037333,6.0,3.0,40.61235599999911
28,NGC5028,198.441175,-13.04233611,13.0,13.0,45.88200000000924,-0.0,-52.0,-10.160666400000622,198.0,26.0,28.22999999995318,-13.0,-2.0,-32.409996000002934
29,NGC5029,198.156628,47.063291,13.0,12.0,37.59072000001311,3.0,8.0,15.189840000002235,198.0,9.0,23.860800000043128,47.0,3.0,47.84759999999835
30,NGC5030,198.47564857,-16.49094605,13.0,13.0,54.15565680000867,-1.0,-5.0,-57.827052000001174,198.0,28.0,32.33485200001496,-16.0,-29.0,-27.405780000005677
31,NGC5031,198.5134875,-16.12316944,13.0,14.0,3.2370000000098287,-1.0,-4.0,-29.56066560000087,198.0,30.0,48.55499999998756,-16.0,-7.0,-23.409984000005863
32,NGC5032,198.36230506,27.80236639,13.0,13.0,26.953214400012087,1.0,51.0,12.567933600001169,198.0,21.0,44.29821600004061,27.0,48.0,8.519003999998347
33,NGC5033,198.36472917,36.59365,13.0,13.0,27.535000800008618,2.0,26.0,22.47600000000091,198.0,21.0,53.02501200001416,36.0,35.0,37.13999999998805
34,NGC5034,198.07921665,70.64931689,13.0,12.0,19.01199600001135,4.0,42.0,35.836053600001634,198.0,4.0,45.17994000002318,70.0,38.0,57.540803999979744
35,NGC5035,198.70514637,-16.49262972,13.0,14.0,49.23512880000928,-1.0,-5.0,-58.23113280000092,198.0,42.0,18.526931999979297,-16.0,-29.0,-33.466992000000175
36,NGC5036,198.67848333,-4.17845278,13.0,14.0,42.83599920001379,-0.0,-16.0,-42.828667200000154,198.0,40.0,42.53998800002137,-4.0,-10.0,-42.43000799999912
37,NGC5037,198.74742083,-16.59032222,13.0,14.0,59.380999200013065,-1.0,-6.0,-21.6773328000008,198.0,44.0,50.7149880000361,-16.0,-35.0,-25.15999200000323
38,NGC5038,198.75889583,-15.95171111,13.0,15.0,2.134999200011123,-1.0,-3.0,-48.410666400000736,198.0,45.0,32.024988000000576,-15.0,-57.0,-6.159995999999097
39,NGC5039,198.685,-4.22611111,13.0,14.0,44.40000000001291,-0.0,-16.0,-54.26666640000015,198.0,41.0,6.0000000000081855,-4.0,-13.0,-33.999995999999015
40,NGC5040,198.38599122,51.25834663,13.0,13.0,32.63789280000793,3.0,25.0,2.003191200001737,198.0,23.0,9.568391999978303,51.0,15.0,30.047867999994082
41,NGC5041,198.63528333,30.70569722,13.0,14.0,32.467999200009814,2.0,2.0,49.3673328000024,198.0,38.0,7.019987999974546,30.0,42.0,20.509992000004047
42,NGC5042,198.88058394,-23.98241428,13.0,15.0,31.340145600014324,-1.0,-35.0,-55.77942720000138,198.0,52.0,50.10218400002941,-23.0,-58.0,-56.6914080000015
43,NGC5043,199.025,-60.06666667,13.0,16.0,6.000000000010317,-4.0,-0.0,-16.000000800002567,199.0,1.0,30.000000000020464,-60.0,-4.0,-1.1999987350463925e-05
44,NGC5044,198.84987083,-16.38555556,13.0,15.0,23.968999200003083,-1.0,-5.0,-32.533334400001124,198.0,50.0,59.53498799995032,-16.0,-23.0,-8.000016000000869
45,NGC5045,198.54166667,-63.39,13.0,14.0,10.000000800011435,-4.0,-13.0,-33.60000000000312,198.0,32.0,30.000012000043625,-63.0,-23.0,-24.000000000002046
46,NGC5046,198.93796691,-16.3267851,13.0,15.0,45.1120584000094,-1.0,-5.0,-18.428424000000465,198.0,56.0,16.680876000000353,-16.0,-19.0,-36.426359999994986
47,NGC5047,198.95219583,-16.51890278,13.0,15.0,48.526999200004894,-1.0,-6.0,-4.5366672000013075,198.0,57.0,7.904987999977493,-16.0,-31.0,-8.050008000004425
48,NGC5048,199.03494962,-28.41062867,13.0,16.0,8.387908800010422,-1.0,-53.0,-38.55088080000158,199.0,2.0,5.818631999970876,-28.0,-24.0,-38.2632120000045
49,NGC5049,198.9970863,-16.39711927,13.0,15.0,59.30071200001095,-1.0,-5.0,-35.30862480000137,198.0,59.0,49.51068000002351,-16.0,-23.0,-49.629372000003684
50,NGC5050,198.92397917,2.87911111,13.0,15.0,41.755000800007025,0.0,11.0,30.986666400000153,198.0,55.0,26.32501199998387,2.0,52.0,44.799996000000704
51,NGC5051,199.08380927,-28.28566696,13.0,16.0,20.114224800005474,-1.0,-53.0,-8.560070400000939,199.0,5.0,1.7133719999606,-28.0,-17.0,-8.40105600000129
52,NGC5052,198.89535221,29.67605633,13.0,15.0,34.88453040000863,1.0,58.0,42.25351920000165,198.0,53.0,43.26795599999514,29.0,40.0,33.802788000005535
53,NGC5053,199.112875,17.70025,13.0,16.0,27.090000000006995,1.0,10.0,48.06000000000097,199.0,6.0,46.350000000009004,17.0,42.0,0.9000000000017394
54,NGC5054,199.2437,-16.63485,13.0,16.0,58.488000000005655,-1.0,-6.0,-32.364000000000516,199.0,14.0,37.31999999996333,-16.0,-38.0,-5.460000000000491
55,NGC5055,198.95530772,42.02936836,13.0,15.0,49.27385280001246,2.0,48.0,7.0484064000024205,198.0,57.0,19.107792000027075,42.0,1.0,45.72609599999794
56,NGC5056,199.051375,30.95026667,13.0,16.0,12.33000000000942,2.0,3.0,48.06400080000255,199.0,3.0,4.9500000000261934,30.0,57.0,0.9600120000047241
57,NGC5057,199.11572815,31.0314924,13.0,16.0,27.774756000005283,2.0,4.0,7.558176000001673,199.0,6.0,56.62133999998332,31.0,1.0,53.37264000000431
58,NGC5058,199.21807917,12.54831111,13.0,16.0,52.3390008000122,0.0,50.0,11.594666400000477,199.0,13.0,5.085012000035931,12.0,32.0,53.919996000000765
59,NGC5059,199.2437,7.84465556,13.0,16.0,58.488000000005655,0.0,31.0,22.71733440000034,199.0,14.0,37.31999999996333,7.0,50.0,40.7600159999987
60,NGC5060,199.31759583,6.03749444,13.0,17.0,16.22299920000387,0.0,24.0,8.998665600000137,199.0,19.0,3.3449879999557197,6.0,2.0,14.979983999998865
61,NGC5061,199.52105833,-26.83722222,13.0,18.0,5.0539992000044265,-1.0,-47.0,-20.933332800001523,199.0,31.0,15.809987999957684,-26.0,-50.0,-13.999992000003658
62,NGC5062,199.59842083,-35.45866389,13.0,18.0,23.620999200014552,-2.0,-21.0,-50.07933360000138,199.0,35.0,54.31498800003283,-35.0,-27.0,-31.190003999988676
63,NGC5063,199.60706851,-35.35242304,13.0,18.0,25.69644240000926,-2.0,-21.0,-24.58152960000163,199.0,36.0,25.446636000017406,-35.0,-21.0,-8.72294399999248
64,NGC5064,199.74965,-47.90865278,13.0,18.0,59.916000000012986,-3.0,-11.0,-38.076667200001744,199.0,44.0,58.74000000000933,-47.0,-54.0,-31.150007999989384
65,NGC5065,199.37755,31.09268889,13.0,17.0,30.61200000001307,2.0,4.0,22.245333600002617,199.0,22.0,39.18000000004895,31.0,5.0,33.68000400000568
66,NGC5066,199.61849948,-10.23379627,13.0,18.0,28.439875200009084,-0.0,-40.0,-56.111104800000646,199.0,37.0,6.598127999989174,-10.0,-14.0,-1.6665719999969042
67,NGC5067,199.615686,-10.145286,13.0,18.0,27.76464000001198,-0.0,-40.0,-34.86864000000054,199.0,36.0,56.46960000003901,-10.0,-8.0,-43.02960000000169
68,NGC5068,199.7283625,-21.0391,13.0,18.0,54.80700000000709,-1.0,-24.0,-9.384000000001151,199.0,43.0,42.10500000001048,-21.0,-2.0,-20.76000000000448
69,NGC5069,199.61849948,-10.23379627,13.0,18.0,28.439875200009084,-0.0,-40.0,-56.111104800000646,199.0,37.0,6.598127999989174,-10.0,-14.0,-1.6665719999969042
70,NGC5070,199.823425,-12.48063889,13.0,19.0,17.62200000000348,-0.0,-49.0,-55.35333360000038,199.0,49.0,24.329999999949905,-12.0,-28.0,-50.30000399999935
71,NGC5071,199.65490833,7.93553889,13.0,18.0,37.17799920001184,0.0,31.0,44.529333600000456,199.0,39.0,17.669988000043304,7.0,56.0,7.940004000000442
72,NGC5072,199.80233676,-12.53995897,13.0,19.0,12.560822400008789,-0.0,-50.0,-9.590152800001022,199.0,48.0,8.412336000010328,-12.0,-32.0,-23.852292000002535
73,NGC5073,199.83608686,-14.84468964,13.0,19.0,20.66084640001108,-0.0,-59.0,-22.725513600000937,199.0,50.0,9.91269599998077,-14.0,-50.0,-40.88270400000127
74,NGC5074,199.60742083,31.46911111,13.0,18.0,25.780999200009518,2.0,5.0,52.58666640000129,199.0,36.0,26.714987999982895,31.0,28.0,8.799996000000192
75,NGC5075,199.77603971,7.83102897,13.0,19.0,6.2495304000100305,0.0,31.0,19.446952800000474,199.0,46.0,33.7429559999714,7.0,49.0,51.70429200000072
76,NGC5076,199.87666649,-12.74080261,13.0,19.0,30.399957600009344,-0.0,-50.0,-57.7926264000007,199.0,52.0,35.9993639999675,-12.0,-44.0,-26.889395999997703
77,NGC5077,199.88195684,-12.65696541,13.0,19.0,31.669641600008305,-0.0,-50.0,-37.671698400000366,199.0,52.0,55.04462399995191,-12.0,-39.0,-25.0754759999991
78,NGC5078,199.95843333,-27.41008333,13.0,19.0,50.02399920001025,-1.0,-49.0,-38.419999200001484,199.0,57.0,30.359987999968325,-27.0,-24.0,-36.29998799999669
79,NGC5079,199.90855417,-12.69896111,13.0,19.0,38.0530008000099,-0.0,-50.0,-47.750666400000625,199.0,54.0,30.795012000007773,-12.0,-41.0,-56.259996000002985
80,NGC5080,199.83007917,8.42899722,13.0,19.0,19.219000800008814,0.0,33.0,42.95933280000028,199.0,49.0,48.285012000017105,8.0,25.0,44.38999199999785
81,NGC5081,199.78432689,28.50691622,13.0,19.0,8.238453600008313,1.0,54.0,1.6598928000018986,199.0,47.0,3.576803999958429,28.0,30.0,24.8983920000029
82,NGC5082,200.16679068,-43.69993138,13.0,20.0,40.02976320000897,-2.0,-54.0,-47.98353120000186,200.0,10.0,0.4464479999683135,-43.0,-41.0,-59.752968000008764
83,NGC5083,199.76277083,39.59051389,13.0,19.0,3.0649992000091686,2.0,38.0,21.723333600000956,199.0,45.0,45.97498799997766,39.0,35.0,25.850003999988758
84,NGC5084,200.0705125,-21.82757778,13.0,20.0,16.923000000012678,-1.0,-27.0,-18.618667200000303,200.0,4.0,13.845000000023902,-21.0,-49.0,-39.28000799999495
85,NGC5085,200.07458333,-24.44027778,13.0,20.0,17.899999200005823,-1.0,-37.0,-45.666667200001,200.0,4.0,28.499987999985024,-24.0,-26.0,-25.00000799999583
86,NGC5086,200.23083333,-43.73888889,13.0,20.0,55.399999200010086,-2.0,-54.0,-57.33333360000131,200.0,13.0,50.999987999985024,-43.0,-44.0,-20.000003999994078
87,NGC5087,200.10400417,-20.61102778,13.0,20.0,24.96100080000545,-1.0,-22.0,-26.646667200001204,200.0,6.0,14.415011999985836,-20.0,-36.0,-39.70000800000207
88,NGC5088,200.08432083,-12.57181389,13.0,20.0,20.236999200007944,-0.0,-50.0,-17.23533360000033,200.0,5.0,3.55498799998486,-12.0,-34.0,-18.53000399999857
89,NGC5089,199.91374167,30.25632222,13.0,19.0,39.29800080001286,2.0,1.0,1.5173328000016895,199.0,54.0,49.4700120000266,30.0,15.0,22.75999200000456
90,NGC5090,200.30351958,-43.7046775,13.0,21.0,12.844699200008023,-2.0,-54.0,-49.122600000002734,200.0,18.0,12.67048799999884,-43.0,-42.0,-16.839000000009037
91,NGC5091,200.32734225,-43.72343363,13.0,21.0,18.56214000000321,-2.0,-54.0,-53.62407120000185,200.0,19.0,38.43209999995224,-43.0,-43.0,-24.361068000008572
92,NGC5092,199.96470558,22.99988325,13.0,19.0,51.52933920000308,1.0,31.0,59.971980000000826,199.0,57.0,52.940087999950265,22.0,59.0,59.579699999999605
93,NGC5093,199.9075555,40.38612052,13.0,19.0,37.813320000009156,2.0,41.0,32.66892480000223,199.0,54.0,27.19980000000305,40.0,23.0,10.033871999995085
94,NGC5094,200.1952375,-14.08068333,13.0,20.0,46.857000000004945,-0.0,-56.0,-19.363999200000706,200.0,11.0,42.85499999996546,-14.0,-4.0,-50.45998799999779
95,NGC5095,200.15363162,-2.28931351,13.0,20.0,36.871588800008226,-0.0,-9.0,-9.435242400000092,200.0,9.0,13.073831999995491,-2.0,-17.0,-21.528635999999892
96,NGC5096,200.03625474,33.08795586,13.0,20.0,8.701137600007769,2.0,12.0,21.10940640000109,200.0,2.0,10.517064000014216,33.0,5.0,16.641096000003586
