,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
259,NGC3259,158.14526865,65.04109112,10.0,32.0,34.86447600000517,4.0,20.0,9.861868800005524,158.0,8.0,42.96713999996882,65.0,2.0,27.92803200001572
260,NGC3260,157.27664568,-35.59513499,10.0,29.0,6.39496320000589,-2.0,-22.0,-22.832397600001926,157.0,16.0,35.92444800000521,-35.0,-35.0,-42.485963999993714
261,NGC3261,157.25616667,-44.6568,10.0,29.0,1.4800008000099751,-2.0,-58.0,-37.63200000000097,157.0,15.0,22.20001199999615,-44.0,-39.0,-24.47999999998899
262,NGC3262,157.27592179,-44.15974008,10.0,29.0,6.221229600013203,-2.0,-56.0,-38.33761920000228,157.0,16.0,33.318444000044565,-44.0,-9.0,-35.06428799999583
263,NGC3263,157.30581667,-44.12292222,10.0,29.0,13.3960008000129,-2.0,-56.0,-29.501332800002444,157.0,18.0,20.94001200004641,-44.0,-7.0,-22.519991999998297
264,NGC3264,158.081335,56.085168,10.0,32.0,19.520400000007072,3.0,44.0,20.440320000004135,158.0,4.0,52.80599999998458,56.0,5.0,6.604800000010869
265,NGC3265,157.7782,28.79666,10.0,31.0,6.7680000000089535,1.0,55.0,11.1984000000011,157.0,46.0,41.519999999993615,28.0,47.0,47.97599999999733
266,NGC3266,158.32337054,64.74936459,10.0,33.0,17.608929600012573,4.0,18.0,59.84750160000168,158.0,19.0,24.133944000047904,64.0,44.0,57.71252399999639
267,NGC3267,157.45252267,-35.32233394,10.0,29.0,48.605440800007784,-2.0,-21.0,-17.36014560000129,157.0,27.0,9.081612000027235,-35.0,-19.0,-20.402184000000148
268,NGC3268,157.50272917,-35.32550833,10.0,30.0,0.6550008000111518,-2.0,-21.0,-18.12199920000147,157.0,30.0,9.825012000032984,-35.0,-19.0,-31.82998799999325
269,NGC3269,157.48779167,-35.22438889,10.0,29.0,57.07000080000725,-2.0,-20.0,-53.85333360000175,157.0,29.0,16.050012000025617,-35.0,-13.0,-27.800004000000627
270,NGC3270,157.87498333,24.86930833,10.0,31.0,29.995999200002785,1.0,39.0,28.633999200001057,157.0,52.0,29.939987999971436,24.0,52.0,9.509987999996667
271,NGC3271,157.6103375,-35.35953889,10.0,30.0,26.48100000001321,-2.0,-21.0,-26.289333600003104,157.0,36.0,37.21500000005108,-35.0,-21.0,-34.34000400001139
272,NGC3272,158.04324691,28.48299338,10.0,32.0,10.379258400007814,1.0,53.0,55.91841120000126,158.0,2.0,35.68887599997652,28.0,28.0,58.7761679999997
273,NGC3273,157.62158657,-35.61060879,10.0,30.0,29.180776800007635,-2.0,-22.0,-26.54610960000163,157.0,37.0,17.711652000018603,-35.0,-36.0,-38.19164400000204
274,NGC3274,158.07176183,27.66865566,10.0,32.0,17.22283920001317,1.0,50.0,40.47735840000058,158.0,4.0,18.342588000050455,27.0,40.0,7.160375999995949
275,NGC3275,157.71575365,-36.73699914,10.0,30.0,51.780876000007225,-2.0,-26.0,-56.87979360000149,157.0,42.0,56.71314000003804,-36.0,-44.0,-13.196904000006384
276,NGC3276,157.78840277,-39.94465601,10.0,31.0,9.216664800009653,-2.0,-39.0,-46.71744240000322,157.0,47.0,18.249972000016896,-39.0,-56.0,-40.76163600000996
277,NGC3277,158.2310296,28.51173339,10.0,32.0,55.44710400000412,1.0,54.0,2.816013600001668,158.0,13.0,51.70655999999781,28.0,30.0,42.24020399999944
278,NGC3278,157.89744583,-39.95461944,10.0,31.0,35.38699920000653,-2.0,-39.0,-49.108665600002155,157.0,53.0,50.80498800003397,-39.0,-57.0,-16.629984000006743
279,NGC3279,158.6783,11.19724444,10.0,34.0,42.792000000007704,0.0,44.0,47.338665600000525,158.0,40.0,41.88000000002603,11.0,11.0,50.079984000001474
280,NGC3280,158.19325,-12.63458333,10.0,32.0,46.38000000001085,-0.0,-50.0,-32.299999200000826,158.0,11.0,35.7000000000221,-12.0,-38.0,-4.499987999999604
281,NGC3281,157.967025,-34.85372222,10.0,31.0,52.08600000000928,-2.0,-19.0,-24.893332800002312,157.0,58.0,1.2900000000240652,-34.0,-51.0,-13.39999200000591
282,NGC3282,158.09129167,-22.3023,10.0,32.0,21.910000800006486,-1.0,-29.0,-12.552000000001016,158.0,5.0,28.650012000014158,-22.0,-18.0,-8.27999999999605
283,NGC3283,157.79837083,-46.25120833,10.0,31.0,11.608999200011425,-3.0,-5.0,-0.2899992000015672,157.0,47.0,54.13498800003708,-46.0,-15.0,-4.349987999989935
284,NGC3284,159.088542,58.620173,10.0,36.0,21.250080000003067,3.0,54.0,28.841520000002845,159.0,5.0,18.751199999962864,58.0,37.0,12.622800000004304
285,NGC3285,158.3992625,-27.45445,10.0,33.0,35.823000000007426,-1.0,-49.0,-49.068000000001604,158.0,23.0,57.344999999970696,-27.0,-27.0,-16.02000000000487
286,NGC3286,159.088542,58.620173,10.0,36.0,21.250080000003067,3.0,54.0,28.841520000002845,159.0,5.0,18.751199999962864,58.0,37.0,12.622800000004304
