,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
0,NGC2000,81.87525,-71.87975278,5.0,27.0,30.060000000000926,-4.0,-47.0,-31.140667200004373,81.0,52.0,30.899999999978718,-71.0,-52.0,-47.11000800001443
1,NGC2001,82.29166667,-68.74666667,5.0,29.0,10.000000800001843,-4.0,-34.0,-59.20000080000335,82.0,17.0,30.000011999992466,-68.0,-44.0,-48.00001199998633
2,NGC2002,82.5875,-66.88505556,5.0,30.0,21.00000000000648,-4.0,-27.0,-32.41333440000204,82.0,35.0,15.000000000020464,-66.0,-53.0,-6.200015999992274
3,NGC2003,82.72933333,-66.46610278,5.0,30.0,55.039999200005596,-4.0,-25.0,-51.864667200002756,82.0,43.0,45.5999880000104,-66.0,-27.0,-57.97000799999978
4,NGC2004,82.67225,-67.28939722,5.0,30.0,41.34000000000384,-4.0,-29.0,-9.45533280000376,82.0,40.0,20.100000000019236,-67.0,-17.0,-21.829991999992444
5,NGC2005,82.53541667,-69.75400556,5.0,30.0,8.500000800006191,-4.0,-39.0,-0.961334400002869,82.0,32.0,7.50001200001293,-69.0,-45.0,-14.42001599998548
6,NGC2006,82.82916667,-66.97333333,5.0,31.0,19.00000080000602,-4.0,-27.0,-53.5999992000032,82.0,49.0,45.00001200002316,-66.0,-58.0,-23.99998800000958
7,NGC2007,83.74655,-50.92172222,5.0,34.0,59.172000000004914,-3.0,-23.0,-41.21333280000286,83.0,44.0,47.57999999999697,-50.0,-55.0,-18.199991999998133
8,NGC2008,83.76582353,-50.96682095,5.0,35.0,3.7976472000048034,-3.0,-23.0,-52.037028000002294,83.0,45.0,56.96470800002089,-50.0,-58.0,-0.5554199999960474
9,NGC2009,82.74583333,-69.185,5.0,30.0,58.99999920000276,-4.0,-36.0,-44.40000000000481,82.0,44.0,44.99998799998707,-69.0,-11.0,-6.0000000000081855
10,NGC2010,82.642625,-70.81895278,5.0,30.0,34.230000000001226,-4.0,-43.0,-16.54866720000257,82.0,38.0,33.44999999998322,-70.0,-49.0,-8.230008000012958
11,NGC2011,83.07916667,-67.52166667,5.0,32.0,19.000000800005807,-4.0,-30.0,-5.200000800002158,83.0,4.0,45.00001200002316,-67.0,-31.0,-18.00001200000679
12,NGC2012,80.64752461,-79.85184236,5.0,22.0,35.40590640000609,-5.0,-19.0,-24.442166400005974,80.0,38.0,51.08859600001779,-79.0,-51.0,-6.632496000022456
13,NGC2013,86.00708333,55.79361111,5.0,44.0,1.6999992000035036,3.0,43.0,10.466666400003533,86.0,0.0,25.499988000001395,55.0,47.0,36.99999600000183
14,NGC2014,83.1,-67.68833333,5.0,32.0,24.000000000003325,-4.0,-30.0,-45.19999920000508,83.0,5.0,59.999999999979536,-67.0,-41.0,-17.999988000021858
15,NGC2015,83.03458333,-69.24256944,5.0,32.0,8.299999200004322,-4.0,-36.0,-58.21666560000352,83.0,2.0,4.499988000013673,-69.0,-14.0,-33.2499839999889
16,NGC2016,82.89604167,-69.94538889,5.0,31.0,35.05000080000485,-4.0,-39.0,-46.89333360000475,82.0,53.0,45.75001200000884,-69.0,-56.0,-43.40000400001372
17,NGC2017,84.82083333,-17.84666667,5.0,39.0,16.999999200004083,-1.0,-11.0,-23.20000080000103,84.0,49.0,14.999987999997302,-17.0,-50.0,-48.00001200000423
18,NGC2018,82.85,-71.07333333,5.0,31.0,24.00000000000354,-4.0,-44.0,-17.599999200003538,82.0,50.0,59.999999999979536,-71.0,-4.0,-23.999987999989116
19,NGC2019,82.98533333,-70.15902778,5.0,31.0,56.479999200005224,-4.0,-40.0,-38.16666720000313,82.0,59.0,7.199988000011217,-70.0,-9.0,-32.50000800000862
20,NGC2020,83.29416667,-67.7125,5.0,33.0,10.60000080000151,-4.0,-30.0,-51.000000000004775,83.0,17.0,39.00001199998428,-67.0,-42.0,-45.000000000020464
21,NGC2021,83.37570833,-67.45508611,5.0,33.0,30.169999200001314,-4.0,-29.0,-49.2206664000021,83.0,22.0,32.54998799998134,-67.0,-27.0,-18.309995999986768
22,NGC2022,85.52579402,9.08627343,5.0,42.0,6.190564800005802,0.0,36.0,20.705623200000502,85.0,31.0,32.858472000023085,9.0,5.0,10.584348000001143
23,NGC2023,85.40788446,-2.26451075,5.0,41.0,37.89227040000469,-0.0,-9.0,-3.482580000000084,85.0,24.0,28.3840560000192,-2.0,-15.0,-52.23869999999966
24,NGC2024,85.42916667,-1.84166667,5.0,41.0,43.00000080000444,-0.0,-7.0,-22.00000080000004,85.0,25.0,45.0000120000027,-1.0,-50.0,-30.000011999999714
25,NGC2025,83.13820833,-71.71755278,5.0,32.0,33.169999200001996,-4.0,-46.0,-52.21266720000557,83.0,8.0,17.549987999991572,-71.0,-43.0,-3.1900080000195885
26,NGC2026,85.775,20.145,5.0,43.0,6.000000000004775,1.0,20.0,34.80000000000075,85.0,46.0,30.000000000020464,20.0,8.0,41.999999999998465
27,NGC2027,83.751375,-66.91826667,5.0,35.0,0.330000000003281,-4.0,-27.0,-40.38400080000308,83.0,45.0,4.949999999985266,-66.0,-55.0,-5.760011999979042
28,NGC2028,83.459875,-69.94478611,5.0,33.0,50.37000000000262,-4.0,-39.0,-46.748666400003174,83.0,27.0,35.54999999998813,-69.0,-56.0,-41.22999599998366
29,NGC2029,83.81458333,-67.56777778,5.0,35.0,15.4999992000063,-4.0,-30.0,-16.266667200004292,83.0,48.0,52.499988000017765,-67.0,-34.0,-4.0000080000004345
30,NGC2030,83.89,-66.04055556,5.0,35.0,33.600000000004826,-4.0,-24.0,-9.73333440000438,83.0,53.0,24.000000000002046,-66.0,-2.0,-26.000016000004962
31,NGC2031,83.42266667,-70.98737222,5.0,33.0,41.44000080000211,-4.0,-43.0,-56.96933280000451,83.0,25.0,21.600011999993285,-70.0,-59.0,-14.539991999990889
32,NGC2032,83.848,-67.5821,5.0,35.0,23.52000000000274,-4.0,-30.0,-19.704000000001187,83.0,50.0,52.79999999999632,-67.0,-34.0,-55.55999999998903
33,NGC2033,83.67916667,-69.73666667,5.0,34.0,43.00000080000274,-4.0,-38.0,-56.80000080000596,83.0,40.0,45.0000120000027,-69.0,-44.0,-12.000012000019069
34,NGC2034,83.95416667,-66.89,5.0,35.0,49.00000080000666,-4.0,-27.0,-33.600000000003334,83.0,57.0,15.000012000023162,-66.0,-53.0,-24.000000000002046
35,NGC2035,83.88333333,-67.585,5.0,35.0,31.999999200004083,-4.0,-30.0,-20.40000000000255,83.0,52.0,59.9999879999973,-67.0,-35.0,-5.99999999997749
36,NGC2036,83.640875,-70.06601111,5.0,34.0,33.81000000000242,-4.0,-40.0,-15.842666400005498,83.0,38.0,27.149999999978718,-70.0,-3.0,-57.63999600001853
37,NGC2037,83.74166667,-69.73,5.0,34.0,58.000000800005296,-4.0,-38.0,-55.20000000000522,83.0,44.0,30.000012000002698,-69.0,-43.0,-48.000000000014325
38,NGC2038,83.67929167,-70.56415556,5.0,34.0,43.030000800003734,-4.0,-42.0,-15.397334400002478,83.0,40.0,45.45001199999206,-70.0,-33.0,-50.96001600001159
39,NGC2039,86.0,8.69166667,5.0,44.0,3.410605131648481e-12,0.0,34.0,46.000000800000436,86.0,0.0,0.0,8.0,41.0,30.00001200000014
40,NGC2040,84.00291667,-67.5825,5.0,36.0,0.7000008000049718,-4.0,-30.0,-19.800000000001816,84.0,0.0,10.500012000017023,-67.0,-34.0,-56.999999999985675
41,NGC2041,84.11704167,-66.99159167,5.0,36.0,28.090000800006152,-4.0,-27.0,-57.98200080000406,84.0,7.0,1.350012000021934,-66.0,-59.0,-29.730012000019315
42,NGC2042,84.04158333,-68.91493889,5.0,36.0,9.979999200001686,-4.0,-35.0,-39.58533360000388,84.0,2.0,29.69998799998052,-68.0,-54.0,-53.78000400000701
43,NGC2043,83.99779167,-70.07096111,5.0,35.0,59.47000080000251,-4.0,-40.0,-17.030666400002303,83.0,59.0,52.050011999992876,-70.0,-4.0,-15.459995999996181
44,NGC2044,84.04583333,-69.19666667,5.0,36.0,10.999999200003572,-4.0,-36.0,-47.200000800004034,84.0,2.0,44.99998799997684,-69.0,-11.0,-48.00001199999656
45,NGC2045,86.25,12.9,5.0,45.0,3.410605131648481e-12,0.0,51.0,36.00000000000094,86.0,15.0,0.0,12.0,54.0,1.2789769243681803e-12
46,NGC2046,83.90916667,-70.24144722,5.0,35.0,38.20000080000625,-4.0,-40.0,-57.94733280000415,83.0,54.0,33.00001200001702,-70.0,-14.0,-29.20999199999187
47,NGC2047,83.98316667,-70.18519722,5.0,35.0,55.96000080000408,-4.0,-40.0,-44.447332800003636,83.0,58.0,59.400012000010065,-70.0,-11.0,-6.709992000022567
48,NGC2048,83.97916667,-69.65,5.0,35.0,55.000000800004614,-4.0,-38.0,-36.00000000000392,83.0,58.0,45.000011999992466,-69.0,-39.0,-2.0463630789890885e-11
49,NGC2049,85.81378333,-30.07835,5.0,43.0,15.307999200006321,-2.0,-0.0,-18.804000000001686,85.0,48.0,49.61998800002448,-30.0,-4.0,-42.06000000000131
50,NGC2050,84.15,-69.40333333,5.0,36.0,36.00000000000435,-4.0,-37.0,-36.79999920000313,84.0,9.0,2.0463630789890885e-11,-69.0,-24.0,-11.999987999982977
51,NGC2051,84.03433333,-71.01181667,5.0,36.0,8.239999200001478,-4.0,-44.0,-2.8360008000046832,84.0,2.0,3.599987999983796,-71.0,-0.0,-42.5400120000063
52,NGC2052,84.296042,-69.774206,5.0,37.0,11.05008000000339,-4.0,-39.0,-5.809440000004997,84.0,17.0,45.7511999999997,-69.0,-46.0,-27.1416000000238
53,NGC2053,84.42333333,-67.41366667,5.0,37.0,41.599999200005584,-4.0,-29.0,-39.280000800001815,84.0,25.0,23.999988000019812,-67.0,-24.0,-49.20001199999206
54,NGC2054,86.314082,-10.083149,5.0,45.0,15.379680000002338,-0.0,-40.0,-19.955760000000566,86.0,18.0,50.6951999999967,-10.0,-4.0,-59.3364000000021
55,NGC2055,84.18333333,-69.49833333,5.0,36.0,43.99999920000255,-4.0,-37.0,-59.599999200002,84.0,10.0,59.99998799998707,-69.0,-29.0,-53.999987999978885
56,NGC2056,84.13975,-70.66851111,5.0,36.0,33.54000000000582,-4.0,-42.0,-40.44266640000359,84.0,8.0,23.10000000002333,-70.0,-40.0,-6.639995999989878
57,NGC2057,84.2285,-70.26802778,5.0,36.0,54.84000000000307,-4.0,-41.0,-4.32666720000185,84.0,13.0,42.59999999998854,-70.0,-16.0,-4.900007999989384
58,NGC2058,84.244,-70.16243056,5.0,36.0,58.56000000000506,-4.0,-40.0,-38.983334400003145,84.0,14.0,38.39999999999918,-70.0,-9.0,-44.750016000015194
59,NGC2059,84.25875,-70.131875,5.0,37.0,2.1000000000040586,-4.0,-40.0,-31.650000000002763,84.0,15.0,31.50000000002251,-70.0,-7.0,-54.74999999997749
60,NGC2060,84.46436253,-69.17332147,5.0,37.0,51.44700720000401,-4.0,-36.0,-41.5971528000037,84.0,27.0,51.70510800000898,-69.0,-10.0,-23.957292000017105
61,NGC2061,85.675,-34.01,5.0,42.0,42.00000000000401,-2.0,-16.0,-2.400000000001228,85.0,40.0,29.999999999989768,-34.0,-0.0,-35.99999999999284
62,NGC2062,85.01725,-66.87623611,5.0,40.0,4.14000000000442,-4.0,-27.0,-30.296666400001655,85.0,1.0,2.100000000015143,-66.0,-52.0,-34.44999599997686
63,NGC2063,86.679284,8.781116,5.0,46.0,43.028160000002345,0.0,35.0,7.467840000000621,86.0,40.0,45.42239999998401,8.0,46.0,52.017600000002915
64,NGC2064,86.65,0.05666667,5.0,46.0,36.00000000000563,0.0,0.0,13.600000800000002,86.0,39.0,2.0463630789890885e-11,0.0,3.0,24.000012
65,NGC2065,84.40845833,-70.23628889,5.0,37.0,38.02999920000559,-4.0,-40.0,-56.70933360000191,84.0,24.0,30.449988000007124,-70.0,-14.0,-10.640003999990313
66,NGC2066,84.4265,-70.165,5.0,37.0,42.36000000000445,-4.0,-40.0,-39.60000000000491,84.0,25.0,35.40000000001555,-70.0,-9.0,-54.00000000002251
67,NGC2067,86.65,0.11666667,5.0,46.0,36.00000000000563,0.0,0.0,28.000000800000006,86.0,39.0,2.0463630789890885e-11,0.0,7.0,1.1999999980361054e-05
68,NGC2068,86.69083333,0.07916667,5.0,46.0,45.7999992000056,0.0,0.0,19.000000800000002,86.0,41.0,26.999988000013673,0.0,4.0,45.000011999999984
69,NGC2069,84.675,-69.00833333,5.0,38.0,42.00000000000486,-4.0,-36.0,-1.999999200002378,84.0,40.0,29.999999999989768,-69.0,-0.0,-29.999987999997302
70,NGC2070,84.675,-69.1,5.0,38.0,42.00000000000486,-4.0,-36.0,-24.000000000002473,84.0,40.0,29.999999999989768,-69.0,-5.0,-59.999999999979536
71,NGC2071,86.791,0.3,5.0,47.0,9.8400000000035,0.0,1.0,12.00000000000001,86.0,47.0,27.59999999998854,0.0,18.0,0.0
72,NGC2072,84.599,-70.23116389,5.0,38.0,23.76000000000346,-4.0,-40.0,-55.47933360000542,84.0,35.0,56.400000000013506,-70.0,-13.0,-52.190004000017325
73,NGC2073,86.47454766,-21.99915781,5.0,45.0,53.89143840000443,-1.0,-27.0,-59.79787440000081,86.0,28.0,28.37157599999614,-21.0,-59.0,-56.96811599999933
74,NGC2074,84.7625,-69.49833333,5.0,39.0,3.0000000000049454,-4.0,-37.0,-59.599999200002,84.0,45.0,45.00000000001023,-69.0,-29.0,-53.999987999978885
75,NGC2075,84.58858333,-70.68502778,5.0,38.0,21.259999200004813,-4.0,-42.0,-44.40666720000223,84.0,35.0,18.89998800002104,-70.0,-41.0,-6.100007999995114
76,NGC2076,86.69777083,-16.78263056,5.0,46.0,47.46499920000332,-1.0,-7.0,-7.83133440000114,86.0,41.0,51.97498799998584,-16.0,-46.0,-57.47001600000431
77,NGC2077,84.89375,-69.65527778,5.0,39.0,34.500000000001876,-4.0,-38.0,-37.26666720000566,84.0,53.0,37.49999999998977,-69.0,-39.0,-19.000008000020898
78,NGC2078,84.975,-69.74833333,5.0,39.0,54.000000000003325,-4.0,-38.0,-59.599999200002,84.0,58.0,29.999999999979536,-69.0,-44.0,-53.999987999978885
79,NGC2079,84.9125,-69.77333333,5.0,39.0,39.00000000000418,-4.0,-39.0,-5.5999992000025145,84.0,54.0,44.999999999979536,-69.0,-46.0,-23.999987999999348
80,NGC2080,84.9273,-69.6473,5.0,39.0,42.55200000000485,-4.0,-38.0,-35.352000000002874,84.0,55.0,38.28000000000884,-69.0,-38.0,-50.28000000000475
81,NGC2081,84.79375,-69.50444444,5.0,39.0,10.500000000004519,-4.0,-38.0,-1.0666656000017838,84.0,47.0,37.50000000001023,-69.0,-30.0,-15.999984000001177
82,NGC2082,85.46287332,-64.30106381,5.0,41.0,51.089596800004244,-4.0,-17.0,-12.255314400003954,85.0,27.0,46.34395199999972,-64.0,-18.0,-3.8297160000081476
83,NGC2083,84.99583333,-69.735,5.0,39.0,58.999999200004254,-4.0,-38.0,-56.400000000003274,84.0,59.0,44.99998799998707,-69.0,-44.0,-5.999999999997954
84,NGC2084,85.07083333,-69.75666667,5.0,40.0,16.999999200003657,-4.0,-39.0,-1.6000008000020216,85.0,4.0,14.999987999997302,-69.0,-45.0,-24.000012000004745
85,NGC2085,85.03583333,-69.67222222,5.0,40.0,8.599999200006181,-4.0,-38.0,-41.33333280000045,85.0,2.0,8.99998800000958,-69.0,-40.0,-19.999991999981148
86,NGC2086,85.09958333,-69.67138889,5.0,40.0,23.89999920000548,-4.0,-38.0,-41.1333336000024,85.0,5.0,58.49998800000549,-69.0,-40.0,-17.00000400001045
87,NGC2087,86.06705959,-55.53252741,5.0,44.0,16.09430160000329,-3.0,-42.0,-7.806578400003019,86.0,4.0,1.4145239999982095,-55.0,-31.0,-57.09867600000052
88,NGC2088,85.25008333,-68.46531667,5.0,41.0,0.01999920000230304,-4.0,-33.0,-51.676000800003834,85.0,15.0,0.29998799998338654,-68.0,-27.0,-55.140012000025536
89,NGC2089,86.96431037,-17.60244525,5.0,47.0,51.434488800005056,-1.0,-10.0,-24.586860000000677,86.0,57.0,51.51733200002468,-17.0,-36.0,-8.80289999999576
90,NGC2090,86.75773493,-34.25046034,5.0,47.0,1.8563832000050695,-2.0,-17.0,-0.11048160000086682,86.0,45.0,27.84574799999291,-34.0,-15.0,-1.6572239999874228
91,NGC2091,85.24754167,-69.43716389,5.0,40.0,59.41000080000606,-4.0,-37.0,-44.91933360000104,85.0,14.0,51.15001200001416,-69.0,-26.0,-13.790003999977216
92,NGC2092,85.34416667,-69.22535833,5.0,41.0,22.60000080000509,-4.0,-36.0,-54.08599920000526,85.0,20.0,39.00001200002521,-69.0,-13.0,-31.289988000021367
93,NGC2093,85.462375,-68.91599167,5.0,41.0,50.97000000000122,-4.0,-35.0,-39.838000800001794,85.0,27.0,44.549999999979946,-68.0,-54.0,-57.57001199998854
94,NGC2094,85.55,-68.91666667,5.0,42.0,12.000000000002728,-4.0,-35.0,-40.000000800002056,85.0,32.0,59.99999999998977,-68.0,-55.0,-1.1999992466371623e-05
95,NGC2095,85.713875,-67.32166389,5.0,42.0,51.33000000000379,-4.0,-29.0,-17.1993336000034,85.0,42.0,49.95000000000573,-67.0,-19.0,-17.99000399998704
96,NGC2096,85.56858333,-68.45970278,5.0,42.0,16.45999920000449,-4.0,-33.0,-50.328667200003565,85.0,34.0,6.899987999984205,-68.0,-27.0,-34.93000800000232
97,NGC2097,86.06666667,-62.785,5.0,44.0,16.000000800005978,-4.0,-11.0,-8.400000000001526,86.0,4.0,1.2000012930002413e-05,-62.0,-47.0,-5.999999999987722
98,NGC2098,85.62345833,-68.27398611,5.0,42.0,29.629999200006836,-4.0,-33.0,-5.75666640000108,85.0,37.0,24.449988000019403,-68.0,-16.0,-26.34999599998423
99,NGC2099,88.075,32.55333333,5.0,52.0,18.00000000000452,2.0,10.0,12.799999200001722,88.0,4.0,30.000000000010232,32.0,33.0,11.999988000003441
100,NGC2100,85.53,-69.20749722,5.0,42.0,7.200000000002831,-4.0,-36.0,-49.79933280000097,85.0,31.0,48.00000000000409,-69.0,-12.0,-26.989991999976155
101,NGC2101,86.59625,-52.08916667,5.0,46.0,23.10000000000244,-3.0,-28.0,-21.400000800001493,86.0,35.0,46.499999999991815,-52.0,-5.0,-21.00001199999042
102,NGC2102,85.60454167,-69.49153889,5.0,42.0,25.09000080000419,-4.0,-37.0,-57.96933360000281,85.0,36.0,16.350012000011702,-69.0,-29.0,-29.54000400000382
103,NGC2103,85.40875,-71.33027778,5.0,41.0,38.100000000002865,-4.0,-45.0,-19.266667200004974,85.0,24.0,31.499999999991815,-71.0,-19.0,-49.000008000010666
104,NGC2104,86.76988333,-51.55294722,5.0,47.0,4.771999200003592,-3.0,-26.0,-12.707332800001723,86.0,46.0,11.57998799999632,-51.0,-33.0,-10.609992000000261
105,NGC2105,86.08091667,-66.91721389,5.0,44.0,19.42000080000099,-4.0,-27.0,-40.13133360000218,86.0,4.0,51.300011999976505,-66.0,-55.0,-1.970003999997516
106,NGC2106,87.69431748,-21.56721564,5.0,50.0,46.63619520000225,-1.0,-26.0,-16.131753600001417,87.0,41.0,39.54292799998257,-21.0,-34.0,-1.9763040000020737
107,NGC2107,85.801125,-70.64078611,5.0,43.0,12.27000000000487,-4.0,-42.0,-33.78866640000055,85.0,48.0,4.0499999999963165,-70.0,-38.0,-26.82999599997629
108,NGC2108,85.98445833,-69.18176944,5.0,43.0,56.2699992000023,-4.0,-36.0,-43.62466560000385,85.0,59.0,4.0499879999833865,-69.0,-10.0,-54.369983999987426
109,NGC2109,86.09658333,-68.54703611,5.0,44.0,23.179999200003323,-4.0,-34.0,-11.288666400000125,86.0,5.0,47.69998800000508,-68.0,-32.0,-49.32999599997629
110,NGC2110,88.04740029,-7.4562472,5.0,52.0,11.376069600005252,-0.0,-29.0,-49.49932800000042,88.0,2.0,50.641043999995645,-7.0,-27.0,-22.48991999999987
111,NGC2111,86.14916667,-70.99579722,5.0,44.0,35.8000008000046,-4.0,-43.0,-58.99133280000257,86.0,8.0,57.000011999998605,-70.0,-59.0,-44.86999200000014
112,NGC2112,88.4375,0.41,5.0,53.0,45.000000000005116,0.0,1.0,38.40000000000002,88.0,26.0,15.0,0.0,24.0,35.99999999999987
