,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
94,M95,160.99055417,11.70361111,10.0,43.0,57.73300080000581,0.0,46.0,48.86666640000058,160.0,59.0,25.995011999984854,11.0,42.0,12.99999600000234
95,M96,161.6906,11.81993889,10.0,46.0,45.7440000000021,0.0,47.0,16.785333600000314,161.0,41.0,26.1599999999612,11.0,49.0,11.780003999998314
96,M97,168.69880209,55.0190237,11.0,14.0,47.712501600005766,3.0,40.0,4.565688000002979,168.0,41.0,55.68752399995219,55.0,1.0,8.485319999993521
97,M98,183.45121667,14.90046944,12.0,13.0,48.29200080000831,0.0,59.0,36.112665600000895,183.0,27.0,4.380012000028728,14.0,54.0,1.689984000000635
98,M99,184.70677083,14.41648889,12.0,18.0,49.62499920001065,0.0,57.0,39.95733360000045,184.0,42.0,24.37498800003823,14.0,24.0,59.3600040000004
99,M100,185.72888285,15.82230397,12.0,22.0,54.931884000005056,1.0,3.0,17.352952800000825,185.0,43.0,43.97825999996712,15.0,49.0,20.294292000000382
100,M101,210.80242917,54.34875,14.0,3.0,12.583000800011916,3.0,37.0,23.700000000003598,210.0,48.0,8.74501200003806,54.0,20.0,55.50000000000921
101,M102,226.62317083,55.76330833,15.0,6.0,29.56099920000966,3.0,43.0,3.193999200002793,226.0,37.0,23.414987999972254,55.0,45.0,47.90998800000352
102,M103,23.34583333,60.65,1.0,33.0,22.999999200001184,4.0,2.0,36.000000000002004,23.0,20.0,44.999988000004976,60.0,38.0,59.999999999994884
103,M104,189.99763271,-11.62305428,12.0,39.0,59.431850400010546,-0.0,-46.0,-29.53302720000039,189.0,59.0,51.47775600001751,-11.0,-37.0,-22.995407999999458
104,M105,161.95666667,12.58163056,10.0,47.0,49.60000080001123,0.0,50.0,19.59133440000059,161.0,57.0,24.000012000014976,12.0,34.0,53.870016000002465
105,M106,184.74008333,47.30371944,12.0,18.0,57.61999920000747,3.0,9.0,12.892665600003319,184.0,44.0,24.29998800001613,47.0,18.0,13.38998400000662
106,M107,248.13275,-13.05377778,16.0,32.0,31.86000000001485,-0.0,-52.0,-12.906667200000612,248.0,7.0,57.89999999995416,-13.0,-3.0,-13.600008000002788
107,M108,167.87902917,55.67412222,11.0,11.0,30.967000800009146,3.0,42.0,41.789332800002796,167.0,52.0,44.50501199998371,55.0,40.0,26.839992000003576
108,M109,179.39993333,53.37451944,11.0,57.0,35.98399920000929,3.0,33.0,29.88466560000262,179.0,23.0,59.75998800003708,53.0,22.0,28.26998400000093
109,M110,10.09189356,41.68541564,0.0,40.0,22.054454400000623,2.0,46.0,44.49975360000224,10.0,5.0,30.816816000002945,41.0,41.0,7.496304000007967
