,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
0,NGC1000,39.70728679,41.45968543,2.0,38.0,49.74882960000116,2.0,45.0,50.3245032000018,39.0,42.0,26.2324439999918,41.0,27.0,34.86754800000142
1,NGC1001,39.80279021,41.67169715,2.0,39.0,12.669650400002013,2.0,46.0,41.20731600000212,39.0,48.0,10.044755999991821,41.0,40.0,18.109739999999874
2,NGC1002,39.73179551,34.62227009,2.0,38.0,55.63092240000202,2.0,18.0,29.34482160000229,39.0,43.0,54.46383599999194,34.0,37.0,20.17232400000239
3,NGC1003,39.8203875,40.87229167,2.0,39.0,16.89300000000273,2.0,43.0,29.350000800003215,39.0,49.0,13.395000000008963,40.0,52.0,20.25001200000986
4,NGC1004,39.42421667,1.97526667,2.0,37.0,41.81200080000252,0.0,7.0,54.06400080000003,39.0,25.0,27.180011999999465,1.0,58.0,30.960011999999608
5,NGC1005,39.86533333,41.49338889,2.0,39.0,27.679999200001788,2.0,45.0,58.413333600002204,39.0,51.0,55.199987999994846,41.0,29.0,36.20000399999469
6,NGC1006,39.3953,-11.025,2.0,37.0,34.872000000001435,-0.0,-44.0,-6.000000000000938,39.0,23.0,43.07999999999595,-11.0,-1.0,-30.00000000000128
7,NGC1007,39.46771517,2.15600019,2.0,37.0,52.25164080000084,0.0,8.0,37.440045600000076,39.0,28.0,3.7746119999934535,2.0,9.0,21.60068399999954
8,NGC1008,39.4803664,2.07979142,2.0,37.0,55.28793600000199,0.0,8.0,19.149940800000067,39.0,28.0,49.31904000000429,2.0,4.0,47.24911199999941
9,NGC1009,39.57936234,2.31003282,2.0,38.0,19.046961600001993,0.0,9.0,14.407876800000103,39.0,34.0,45.704424000010704,2.0,18.0,36.11815199999995
10,NGC1010,39.3953,-11.025,2.0,37.0,34.872000000001435,-0.0,-44.0,-6.000000000000938,39.0,23.0,43.07999999999595,-11.0,-1.0,-30.00000000000128
11,NGC1011,39.41205174,-11.00554132,2.0,37.0,38.892417600001465,-0.0,-44.0,-1.3299168000010297,39.0,24.0,43.38626400000919,-11.0,-0.0,-19.948752000002656
12,NGC1012,39.81234583,30.15166944,2.0,39.0,14.962999200002116,2.0,0.0,36.40066560000097,39.0,48.0,44.44498799999337,30.0,9.0,6.009983999996962
13,NGC1013,39.46009583,-11.50726111,2.0,37.0,50.42299920000133,-0.0,-46.0,-1.7426664000004166,39.0,27.0,36.34498800000074,-11.0,-30.0,-26.139995999999854
14,NGC1014,39.503542,-9.573388,2.0,38.0,0.8500800000032882,-0.0,-38.0,-17.613120000000322,39.0,30.0,12.751200000010954,-9.0,-34.0,-24.196799999998433
15,NGC1015,39.5481875,-1.31861667,2.0,38.0,11.56500000000193,-0.0,-5.0,-16.468000800000038,39.0,32.0,53.47499999999059,-1.0,-19.0,-7.020011999999767
16,NGC1016,39.5814625,2.1192,2.0,38.0,19.551000000001864,0.0,8.0,28.608000000000153,39.0,34.0,53.265000000002374,2.0,7.0,9.1200000000007
17,NGC1017,39.475,-11.0,2.0,37.0,54.000000000002046,-0.0,-44.0,-4.263256414560601e-13,39.0,28.0,30.000000000005116,-11.0,-0.0,-0.0
18,NGC1018,39.54309167,-9.54393611,2.0,38.0,10.342000800003177,-0.0,-38.0,-10.54466640000058,39.0,32.0,35.13001200000929,-9.0,-32.0,-38.1699960000023
19,NGC1019,39.61425417,1.90768611,2.0,38.0,27.42100080000185,0.0,7.0,37.84466640000011,39.0,36.0,51.31501200000855,1.0,54.0,27.669995999999912
20,NGC1020,39.6847052,2.23124467,2.0,38.0,44.329248000001655,0.0,8.0,55.49872080000014,39.0,41.0,4.93872000001204,2.0,13.0,52.48081200000055
21,NGC1021,39.70012083,2.21741389,2.0,38.0,48.02899920000243,0.0,8.0,52.179333600000106,39.0,42.0,0.43498800001088966,2.0,13.0,2.6900039999999947
22,NGC1022,39.6362625,-6.67738889,2.0,38.0,32.70300000000191,-0.0,-26.0,-42.57333360000011,39.0,38.0,10.545000000003029,-6.0,-40.0,-38.60000399999848
23,NGC1023,40.10005,39.06325,2.0,40.0,24.012000000003297,2.0,36.0,15.18000000000086,40.0,6.0,0.1800000000110913,39.0,3.0,47.69999999998731
24,NGC1024,39.79985417,10.84681111,2.0,39.0,11.965000800002485,0.0,43.0,23.234666400000634,39.0,47.0,59.4750120000117,10.0,50.0,48.51999600000312
25,NGC1025,39.08309008,-54.86414706,2.0,36.0,19.94161920000124,-3.0,-39.0,-27.395294400002683,39.0,4.0,59.124287999993044,-54.0,-51.0,-50.92941600000188
26,NGC1026,39.83000109,6.54403915,2.0,39.0,19.20026160000333,0.0,26.0,10.56939600000014,39.0,49.0,48.00392400001158,6.0,32.0,38.5409399999989
27,NGC1027,40.67916667,61.63333333,2.0,42.0,43.00000080000274,4.0,6.0,31.999999200003657,40.0,40.0,45.0000120000027,61.0,37.0,59.9999879999973
28,NGC1028,39.90479583,10.84365556,2.0,39.0,37.15099920000199,0.0,43.0,22.477334400000473,39.0,54.0,17.26498799999149,10.0,50.0,37.160016000000695
29,NGC1029,39.90223452,10.79325695,2.0,39.0,36.536284800001795,0.0,43.0,10.381668000000417,39.0,54.0,8.044272000001342,10.0,47.0,35.72501999999986
30,NGC1030,39.96083333,18.02427778,2.0,39.0,50.59999920000166,1.0,12.0,5.826667200000486,39.0,57.0,38.99998799999935,18.0,1.0,27.4000079999945
31,NGC1031,39.16136857,-54.85986833,2.0,36.0,38.728456800002675,-3.0,-39.0,-26.368399200002415,39.0,9.0,40.92685200000176,-54.0,-51.0,-35.52598799999146
32,NGC1032,39.8485,1.0938,2.0,39.0,23.640000000002885,0.0,4.0,22.51200000000008,39.0,50.0,54.60000000000491,1.0,5.0,37.680000000000376
33,NGC1033,40.06715825,-8.77695323,2.0,40.0,16.11798000000178,-0.0,-35.0,-6.468775200000465,40.0,4.0,1.7696999999947138,-8.0,-46.0,-37.03162800000058
34,NGC1034,39.5584,-15.80904167,2.0,38.0,14.016000000002293,-1.0,-3.0,-14.17000080000033,39.0,33.0,30.23999999999603,-15.0,-48.0,-32.55001199999697
35,NGC1035,39.871401,-8.133643,2.0,39.0,29.13624000000098,-0.0,-32.0,-32.074320000000256,39.0,52.0,17.043599999995536,-8.0,-8.0,-1.1147999999974445
36,NGC1036,40.12075833,19.29707778,2.0,40.0,28.981999200001525,1.0,17.0,11.29866720000095,40.0,7.0,14.729988000003686,19.0,17.0,49.48000799999505
37,NGC1037,39.49462917,-1.84418056,2.0,37.0,58.71100080000332,-0.0,-7.0,-22.603334400000072,39.0,29.0,40.665012000011416,-1.0,-50.0,-39.05001600000034
38,NGC1038,40.026375,1.50874167,2.0,40.0,6.330000000001661,0.0,6.0,2.098000800000115,40.0,1.0,34.95000000000573,1.0,30.0,31.470012000000125
39,NGC1039,40.52083333,42.76166667,2.0,42.0,4.99999920000306,2.0,51.0,2.80000080000093,40.0,31.0,14.999988000007534,42.0,45.0,42.000011999988374
40,NGC1040,40.801833,41.500611,2.0,43.0,12.439920000001763,2.0,46.0,0.14664000000152555,40.0,48.0,6.598800000007259,41.0,30.0,2.1995999999973037
41,NGC1041,40.10504583,-5.44033889,2.0,40.0,25.210999200002107,-0.0,-21.0,-45.68133360000033,40.0,6.0,18.16498800000602,-5.0,-26.0,-25.22000399999854
