,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
0,NGC1,1.81606452,27.70806238,0.0,7.0,15.855484800000124,1.0,50.0,49.934971200001996,1.0,48.0,57.832272000000415,27.0,42.0,29.024568000004365
1,NGC2,1.82131363,27.67834233,0.0,7.0,17.115271200000084,1.0,50.0,42.8021592000016,1.0,49.0,16.7290679999995,27.0,40.0,42.03238799999838
2,NGC3,1.82001667,8.30162222,0.0,7.0,16.804000800000107,0.0,33.0,12.389332800000545,1.0,49.0,12.060012000000171,8.0,18.0,5.839992000001786
3,NGC4,1.85166667,8.375,0.0,7.0,24.400000800000097,0.0,33.0,30.000000000000426,1.0,51.0,6.000011999999799,8.0,22.0,30.0
4,NGC5,1.95374167,35.36235,0.0,7.0,48.89800080000008,2.0,21.0,26.964000000001107,1.0,57.0,13.470012000000509,35.0,21.0,44.45999999999742
5,NGC6,2.38625,33.308667,0.0,9.0,32.7000000000001,2.0,13.0,14.080080000001765,2.0,23.0,10.49999999999983,33.0,18.0,31.20119999999929
6,NGC7,2.08458333,-29.91694444,0.0,8.0,20.299999200000123,-1.0,-59.0,-40.066665600002125,2.0,5.0,4.4999880000002435,-29.0,-55.0,-0.9999840000062932
7,NGC8,2.18875,23.83861111,0.0,8.0,45.30000000000015,1.0,35.0,21.26666640000053,2.0,11.0,19.500000000000703,23.0,50.0,18.99999599999518
8,NGC9,2.22797083,23.81692222,0.0,8.0,54.71299920000007,1.0,35.0,16.06133280000094,2.0,13.0,40.69498799999945,23.0,49.0,0.9199919999949202
9,NGC10,2.14390251,-33.85838567,0.0,8.0,34.536602400000156,-2.0,-15.0,-26.012560800000983,2.0,8.0,38.04903600000074,-33.0,-51.0,-30.18841199998917
10,NGC11,2.17705833,37.44788611,0.0,8.0,42.49399920000009,2.0,29.0,47.492666400001866,2.0,10.0,37.40998799999975,37.0,26.0,52.38999599999602
