,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
0,NGC4000,179.48754,25.144345,11.0,57.0,57.0096000000045,1.0,40.0,34.642800000001586,179.0,29.0,15.143999999984317,25.0,8.0,39.6420000000046
1,NGC4001,179.52827379,47.33484475,11.0,58.0,6.785709600007266,3.0,9.0,20.362740000003257,179.0,31.0,41.785643999949116,47.0,20.0,5.441100000007282
2,NGC4002,179.49714583,23.20196389,11.0,57.0,59.31499920000746,1.0,32.0,48.471333600000435,179.0,29.0,49.72498799997766,23.0,12.0,7.07000399999373
3,NGC4003,179.4959298,23.12488277,11.0,57.0,59.023152000007,1.0,32.0,29.971864800000674,179.0,29.0,45.34727999999632,23.0,7.0,29.577971999997317
4,NGC4004,179.52175833,27.87894167,11.0,58.0,5.221999200012988,1.0,51.0,30.946000800000775,179.0,31.0,18.32998800004134,27.0,52.0,44.19001199999883
5,NGC4005,179.54234637,25.12222523,11.0,58.0,10.16312880000612,1.0,40.0,29.334055200001217,179.0,32.0,32.44693199996391,25.0,7.0,20.01082800000546
6,NGC4006,179.524125,-2.120125,11.0,58.0,5.790000000007183,-0.0,-8.0,-28.830000000000062,179.0,31.0,26.849999999992633,-2.0,-7.0,-12.449999999999335
7,NGC4007,179.4959298,23.12488277,11.0,57.0,59.023152000007,1.0,32.0,29.971864800000674,179.0,29.0,45.34727999999632,23.0,7.0,29.577971999997317
8,NGC4008,179.57102917,28.19251667,11.0,58.0,17.047000800007055,1.0,52.0,46.204000800001666,179.0,34.0,15.705012000009901,28.0,11.0,33.0600119999994
9,NGC4009,179.617514,25.214381,11.0,58.0,28.203360000005944,1.0,40.0,51.45144000000073,179.0,37.0,3.0503999999996267,25.0,12.0,51.77159999999816
10,NGC4010,179.65829583,47.26131111,11.0,58.0,37.99099920000344,3.0,9.0,2.714666400003054,179.0,39.0,29.864987999949335,47.0,15.0,40.719996000004244
11,NGC4011,179.60594583,25.09765278,11.0,58.0,25.426999200005866,1.0,40.0,23.43666720000101,179.0,36.0,21.40498799998568,25.0,5.0,51.55000800000238
12,NGC4012,179.61466215,10.02147922,11.0,58.0,27.51891600000789,0.0,40.0,5.155012800000378,179.0,36.0,52.783739999952104,10.0,1.0,17.325191999999277
13,NGC4013,179.63090417,43.94702222,11.0,58.0,31.417000800010868,2.0,55.0,47.28533280000235,179.0,37.0,51.25501200002873,43.0,56.0,49.27999200000329
