,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
0,NGC7000,314.69583333,44.33,20.0,58.0,46.999999200023694,2.0,57.0,19.200000000001722,314.0,41.0,44.99998800009962,44.0,19.0,47.99999999999386
1,NGC7001,315.2822787,-0.19517495,21.0,1.0,7.746888000017691,-0.0,-0.0,-46.84198800000001,315.0,16.0,56.20332000002236,-0.0,-11.0,-42.62982000000001
2,NGC7002,315.93658333,-49.029775,21.0,3.0,44.77999920002247,-3.0,-16.0,-7.1460000000027435,315.0,56.0,11.699988000068515,-49.0,-1.0,-47.19000000000278
3,NGC7003,315.17675501,17.80499509,21.0,0.0,42.42120240002407,1.0,11.0,13.198821600000272,315.0,10.0,36.3180360000797,17.0,48.0,17.98232399999449
4,NGC7004,316.00900417,-49.11424722,21.0,4.0,2.161000800025761,-3.0,-16.0,-27.41933280000282,316.0,0.0,32.41501200009225,-49.0,-6.0,-51.28999200001033
5,NGC7005,315.490194,-12.882615,21.0,1.0,57.64656000000571,-0.0,-51.0,-31.82760000000073,315.0,29.0,24.698399999906542,-12.0,-52.0,-57.41399999999814
6,NGC7006,315.37277083,16.18791389,21.0,1.0,29.4649992000069,1.0,4.0,45.09933360000126,315.0,22.0,21.97498799992445,16.0,11.0,16.490004000002898
7,NGC7007,316.3663625,-52.55192778,21.0,5.0,27.927000000009627,-3.0,-30.0,-12.462667200001647,316.0,21.0,58.904999999926986,-52.0,-33.0,-6.940007999999125
8,NGC7008,315.1362,54.5443,21.0,0.0,32.688000000003115,3.0,38.0,10.632000000002506,315.0,8.0,10.319999999906031,54.0,32.0,39.47999999999922
9,NGC7009,316.0450639,-11.36349495,21.0,4.0,10.815336000015066,-0.0,-45.0,-27.238788000000795,316.0,2.0,42.23004000000856,-11.0,-21.0,-48.58181999999914
10,NGC7010,316.16449167,-12.33834722,21.0,4.0,39.47800080001883,-0.0,-49.0,-21.20333280000068,316.0,9.0,52.17001200006507,-12.0,-20.0,-18.049991999997417
11,NGC7011,315.45416,47.35333,21.0,1.0,48.99840000001575,3.0,9.0,24.799200000001633,315.0,27.0,14.976000000006024,47.0,21.0,11.98799999999892
12,NGC7012,316.68966667,-44.81475833,21.0,6.0,45.52000080001562,-2.0,-59.0,-15.541999200002152,316.0,41.0,22.80001200002971,-44.0,-48.0,-53.12998799998752
13,NGC7013,315.89004583,29.89734722,21.0,3.0,33.610999200020046,1.0,59.0,35.363332800001785,315.0,53.0,24.16498800007048,29.0,53.0,50.4499920000012
14,NGC7014,316.9674375,-47.17903611,21.0,7.0,52.18500000002024,-3.0,-8.0,-42.96866640000239,316.0,58.0,2.7750000000605723,-47.0,-10.0,-44.5299959999943
15,NGC7015,316.40579167,11.41420833,21.0,5.0,37.39000080000494,0.0,45.0,39.40999920000024,316.0,24.0,20.85001199994622,11.0,24.0,51.14998799999725
16,NGC7016,316.81787083,-25.4689,21.0,7.0,16.28899920001203,-1.0,-41.0,-52.536000000001195,316.0,49.0,4.334988000014164,-25.0,-28.0,-8.040000000005136
17,NGC7017,316.83666667,-25.4875,21.0,7.0,20.80000080001014,-1.0,-41.0,-57.00000000000102,316.0,50.0,12.000011999998605,-25.0,-29.0,-15.000000000002558
18,NGC7018,316.85708333,-25.42944444,21.0,7.0,25.69999920001493,-1.0,-41.0,-43.06666560000153,316.0,51.0,25.49998800008325,-25.0,-25.0,-45.999984000003735
19,NGC7019,316.60714583,-24.41268056,21.0,6.0,25.714999200006048,-1.0,-37.0,-39.04333440000087,316.0,36.0,25.72498799992445,-24.0,-24.0,-45.65001599999391
20,NGC7020,317.8335187,-64.02527633,21.0,11.0,20.04448800001427,-4.0,-16.0,-6.066319200001189,317.0,50.0,0.6673200000477664,-64.0,-1.0,-30.994787999989057
21,NGC7021,317.8335187,-64.02527633,21.0,11.0,20.04448800001427,-4.0,-16.0,-6.066319200001189,317.0,50.0,0.6673200000477664,-64.0,-1.0,-30.994787999989057
22,NGC7022,317.396823,-49.30363898,21.0,9.0,35.237520000004565,-3.0,-17.0,-12.873355200002692,317.0,23.0,48.56279999994058,-49.0,-18.0,-13.100328000008403
23,NGC7023,315.40375,68.16333333,21.0,1.0,36.900000000019304,4.0,32.0,39.199999200003504,315.0,24.0,13.500000000008185,68.0,9.0,47.999988000001395
24,NGC7024,316.553,41.495,21.0,6.0,12.720000000018103,2.0,45.0,58.80000000000152,316.0,33.0,10.799999999990177,41.0,29.0,41.99999999999079
25,NGC7025,316.94720417,16.33585833,21.0,7.0,47.329000800023664,1.0,5.0,20.60599920000117,316.0,56.0,49.935012000073584,16.0,20.0,9.089988000002336
26,NGC7026,316.5773841,47.85188339,21.0,6.0,18.572184000022105,3.0,11.0,24.452013600002296,316.0,34.0,38.58276000006299,47.0,51.0,6.780203999991272
27,NGC7027,316.7573,42.2361,21.0,7.0,1.7520000000163805,2.0,48.0,56.66400000000138,316.0,45.0,26.279999999951542,42.0,14.0,9.960000000001514
28,NGC7028,316.4585,18.468194,21.0,5.0,50.0400000000198,1.0,13.0,52.366560000001385,316.0,27.0,30.600000000054024,18.0,28.0,5.498400000001595
29,NGC7029,317.9667885,-49.28369952,21.0,11.0,52.02924000001104,-3.0,-17.0,-8.087884800001461,317.0,58.0,0.43860000002496236,-49.0,-17.0,-1.318271999996341
30,NGC7030,317.80563491,-20.48579562,21.0,11.0,13.352378400014118,-1.0,-21.0,-56.590948800001115,317.0,48.0,20.28567599993039,-20.0,-29.0,-8.864232000003938
31,NGC7031,316.775,50.875,21.0,7.0,6.000000000009038,3.0,23.0,30.000000000002984,316.0,46.0,29.999999999918145,50.0,52.0,30.0
32,NGC7032,318.84531118,-68.28790228,21.0,15.0,22.874683200016932,-4.0,-33.0,-9.096547200001908,318.0,50.0,43.120248000036554,-68.0,-17.0,-16.448207999990245
33,NGC7033,317.40116967,15.12493377,21.0,9.0,36.28072080001402,1.0,0.0,29.984104800000466,317.0,24.0,4.210812000005717,15.0,7.0,29.761572000000598
34,NGC7034,317.40905833,15.15055278,21.0,9.0,38.17399920001549,1.0,0.0,36.132667200000945,317.0,24.0,32.60998799997651,15.0,9.0,1.99000799999979
35,NGC7035,317.6925,-23.13666667,21.0,10.0,46.20000000001596,-1.0,-32.0,-32.80000080000093,317.0,41.0,32.99999999998363,-23.0,-8.0,-12.000012000001163
36,NGC7036,317.50833333,15.51833333,21.0,10.0,1.9999992000236944,1.0,2.0,4.3999992000011545,317.0,30.0,29.99998800009962,15.0,31.0,5.999988000002929
37,NGC7037,317.73,33.732,21.0,10.0,55.200000000020566,2.0,14.0,55.680000000002075,317.0,43.0,48.000000000065484,33.0,43.0,55.199999999997544
38,NGC7038,318.78137083,-47.22053056,21.0,15.0,7.528999200013686,-3.0,-8.0,-52.927334400002195,318.0,46.0,52.93498800005182,-47.0,-13.0,-13.910016000000951
39,NGC7039,317.7,45.61666667,21.0,10.0,48.00000000001177,3.0,2.0,28.000000800002418,317.0,41.0,59.99999999995907,45.0,37.0,1.2000002698187018e-05
40,NGC7040,318.31881667,8.86503333,21.0,13.0,16.51600080001117,0.0,35.0,27.60799920000025,318.0,19.0,7.740011999962917,8.0,51.0,54.11998799999736
41,NGC7041,319.13486436,-48.36355503,21.0,16.0,32.36744640001575,-3.0,-13.0,-27.253207200002265,319.0,8.0,5.511695999980475,-48.0,-21.0,-48.798108000002
42,NGC7042,318.44120131,13.57489121,21.0,13.0,45.88831440001371,0.0,54.0,17.973890400000982,318.0,26.0,28.324715999988257,13.0,34.0,29.608356000001947
43,NGC7043,318.51740348,13.62604745,21.0,14.0,4.17683520001674,0.0,54.0,30.25138800000036,318.0,31.0,2.652527999944141,13.0,37.0,33.77081999999902
