,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
0,NGC6000,237.45648333,-29.38680556,15.0,49.0,49.555999200008785,-1.0,-57.0,-32.83333440000064,237.0,27.0,23.33998799999108,-29.0,-23.0,-12.500015999996776
1,NGC6001,236.9415,28.64185278,15.0,47.0,45.9600000000097,1.0,54.0,34.04466720000144,236.0,56.0,29.39999999996644,28.0,38.0,30.67000800000244
2,NGC6002,236.92502,28.630811,15.0,47.0,42.00480000000681,1.0,54.0,31.3946400000016,236.0,55.0,30.071999999961463,28.0,37.0,50.919600000004834
3,NGC6003,237.35677917,19.03198889,15.0,49.0,25.627000800015622,1.0,16.0,7.67733360000129,237.0,21.0,24.405012000036095,19.0,1.0,55.16000400000337
4,NGC6004,237.59455833,18.93910278,15.0,50.0,22.693999200014048,1.0,15.0,45.384667200000806,237.0,35.0,40.40998800004445,18.0,56.0,20.770007999996096
5,NGC6005,238.995,-57.44,15.0,55.0,58.800000000012176,-3.0,-49.0,-45.60000000000201,238.0,59.0,42.00000000001637,-57.0,-26.0,-23.999999999991815
6,NGC6006,238.26068938,12.00535427,15.0,53.0,2.5654512000120633,0.0,48.0,1.285024800000798,238.0,15.0,38.48176800000829,12.0,0.0,19.27537199999918
7,NGC6007,238.34653952,11.95918,15.0,53.0,23.169484800010736,0.0,47.0,50.20320000000041,238.0,20.0,47.54227199997558,11.0,57.0,33.04799999999972
8,NGC6008,238.23342895,21.10051485,15.0,52.0,56.022948000009904,1.0,24.0,24.123564000000997,238.0,14.0,0.3442199999631157,21.0,6.0,1.853459999998961
9,NGC6009,238.3503125,12.05866389,15.0,53.0,24.07500000001093,0.0,48.0,14.079333600000439,238.0,21.0,1.1250000000040927,12.0,3.0,31.190004000000187
10,NGC6010,238.57981613,0.54304088,15.0,54.0,19.1558712000122,0.0,2.0,10.329811200000014,238.0,34.0,47.33806800004231,0.0,32.0,34.94716799999992
11,NGC6011,236.63685849,72.16925852,15.0,46.0,32.846037600011044,4.0,48.0,40.6220448000046,236.0,38.0,12.690564000031372,72.0,10.0,9.330671999998685
12,NGC6012,238.5579409,14.6011892,15.0,54.0,13.905816000012408,0.0,58.0,24.2854080000005,238.0,33.0,28.587240000019847,14.0,36.0,4.281120000001124
13,NGC6013,238.22015745,40.64670476,15.0,52.0,52.837788000008175,2.0,42.0,35.20914240000138,238.0,13.0,12.566819999956351,40.0,38.0,48.13713599999517
14,NGC6014,238.98920392,5.93198326,15.0,55.0,57.408940800010555,0.0,23.0,43.67598240000021,238.0,59.0,21.134111999979268,5.0,55.0,55.13973600000014
15,NGC6015,237.85516289,62.31006341,15.0,51.0,25.23909360000914,4.0,9.0,14.415218400002274,237.0,51.0,18.586404000009225,62.0,18.0,36.22827599999255
16,NGC6016,238.97845417,26.96630833,15.0,55.0,54.82900080000661,1.0,47.0,51.91399920000137,238.0,58.0,42.435011999971266,26.0,57.0,58.709988000001374
17,NGC6017,239.31452917,5.99836389,15.0,57.0,15.487000800009838,0.0,23.0,59.607333600000274,239.0,18.0,52.30501199994933,5.0,59.0,54.11000400000091
18,NGC6018,239.37406162,15.87261887,15.0,57.0,29.774788800009162,1.0,3.0,29.42852880000089,239.0,22.0,26.621831999971164,15.0,52.0,21.427932000000567
19,NGC6019,238.03795,64.84068333,15.0,52.0,9.108000000008616,4.0,19.0,21.763999200002573,238.0,2.0,16.619999999982156,64.0,50.0,26.45998800001621
20,NGC6020,239.28382917,22.40454722,15.0,57.0,8.11900080000953,1.0,29.0,37.09133280000181,239.0,17.0,1.7850119999638991,22.0,24.0,16.369992000004743
21,NGC6021,239.377825,15.95621389,15.0,57.0,30.67800000001057,1.0,3.0,49.49133360000067,239.0,22.0,40.170000000005075,15.0,57.0,22.370004000002837
22,NGC6022,239.44902029,16.28230924,15.0,57.0,47.7648696000098,1.0,5.0,7.75421760000059,239.0,26.0,56.47304399997438,16.0,16.0,56.31326400000006
23,NGC6023,239.45675833,16.31010278,15.0,57.0,49.62199920001311,1.0,5.0,14.424667200000751,239.0,27.0,24.329988000049525,16.0,18.0,36.37000800000408
24,NGC6024,238.2829,64.91806944,15.0,53.0,7.896000000014851,4.0,19.0,40.33666560000192,238.0,16.0,58.44000000004371,64.0,55.0,5.049983999987262
25,NGC6025,240.82083333,-60.43166667,16.0,3.0,16.999999200008347,-4.0,-1.0,-43.60000080000091,240.0,49.0,14.999987999997302,-60.0,-25.0,-54.00001199999451
26,NGC6026,240.33801428,-34.54327374,16.0,1.0,21.123427200009246,-2.0,-18.0,-10.385697600000015,240.0,20.0,16.851408000036372,-34.0,-32.0,-35.78546399998743
27,NGC6027,239.802257,20.763354,15.0,59.0,12.54168000000874,1.0,23.0,3.2049600000011935,239.0,48.0,8.1251999999904,20.0,45.0,48.07439999999872
28,NGC6028,240.37064072,19.35987762,16.0,1.0,28.953772800016395,1.0,17.0,26.37062880000059,240.0,22.0,14.306592000041292,19.0,21.0,35.559431999996036
29,NGC6029,240.49534583,12.57393611,16.0,1.0,58.88299920000378,0.0,50.0,17.744666400000426,240.0,29.0,43.24498799996718,12.0,34.0,26.169995999999998
30,NGC6030,240.46407917,17.9574,16.0,1.0,51.37900080001231,1.0,11.0,49.776000000000806,240.0,27.0,50.68501199996717,17.0,57.0,26.639999999999304
